Player,salary,Season,Position,Age,Team,Games Played,Games Started,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Pointers Made,Three Pointers Attempted,Three Pointers Percentage,Two Pointers Made,Two Pointers Attempted,Two Pointers Percentage,Effective Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points Scored
Paul Reed,1517981,2022,C,22,PHI,38,2.0,302.0,54,96,0.563,2.0,8.0,0.25,52,88,0.591,0.573,6,14,0.429,44.0,48.0,92.0,16,33.0,14.0,10.0,57,116
Isaiah Joe,1517981,2022,SG,22,PHI,55,1.0,609.0,62,177,0.35,45.0,135.0,0.333,17,42,0.405,0.477,29,31,0.935,6.0,50.0,56.0,35,14.0,3.0,19.0,47,198
CJ Elleby,1517981,2022,SF,21,POR,58,28.0,1174.0,121,308,0.393,37.0,126.0,0.294,84,182,0.462,0.453,60,84,0.714,66.0,161.0,227.0,87,35.0,19.0,56.0,116,339
Elijah Hughes,1517981,2022,SG-SF,23,TOT,36,4.0,434.0,47,144,0.326,25.0,95.0,0.263,22,49,0.449,0.413,7,9,0.778,6.0,52.0,58.0,22,14.0,8.0,17.0,39,126
Jahmi'us Ramsey,1517981,2022,SG,20,SAC,19,0.0,134.0,24,58,0.414,5.0,18.0,0.278,19,40,0.475,0.457,7,14,0.5,4.0,9.0,13.0,7,1.0,1.0,5.0,10,60
Tre Jones,1517981,2022,PG,22,SAS,69,11.0,1148.0,166,339,0.49,10.0,51.0,0.196,156,288,0.542,0.504,71,91,0.78,29.0,126.0,155.0,233,42.0,7.0,46.0,78,413
Anthony Gill,1517981,2022,PF,29,WAS,44,0.0,463.0,62,109,0.569,14.0,26.0,0.538,48,83,0.578,0.633,42,52,0.808,33.0,52.0,85.0,27,5.0,11.0,18.0,58,180
Isaiah Todd,1500000,2022,PF,20,WAS,12,0.0,74.0,7,26,0.269,4.0,16.0,0.25,3,10,0.3,0.346,2,6,0.333,3.0,9.0,12.0,4,4.0,2.0,4.0,4,20
Saben Lee,1489065,2022,PG,22,DET,37,0.0,604.0,69,177,0.39,14.0,60.0,0.233,55,117,0.47,0.429,56,71,0.789,18.0,69.0,87.0,107,36.0,12.0,36.0,44,208
Omer Yurtseven,1489065,2022,C,23,MIA,56,12.0,706.0,130,247,0.526,1.0,11.0,0.091,129,236,0.547,0.528,38,61,0.623,85.0,209.0,294.0,49,17.0,20.0,41.0,84,299
Stanley Johnson,1368998,2022,PF,25,LAL,48,27.0,1094.0,117,251,0.466,33.0,105.0,0.314,84,146,0.575,0.532,53,74,0.716,34.0,121.0,155.0,80,43.0,14.0,35.0,109,320
Aaron Wiggins,1305761,2022,SG,23,OKC,50,35.0,1209.0,156,337,0.463,42.0,138.0,0.304,114,199,0.573,0.525,62,85,0.729,51.0,127.0,178.0,68,30.0,10.0,54.0,93,416
Marquese Chriss,1292900,2022,PF,24,DAL,34,0.0,346.0,62,134,0.463,8.0,25.0,0.32,54,109,0.495,0.493,22,33,0.667,33.0,70.0,103.0,17,13.0,12.0,17.0,64,154
JT Thor,1250000,2022,PF,19,CHO,33,0.0,262.0,24,55,0.436,7.0,27.0,0.259,17,28,0.607,0.5,12,20,0.6,11.0,32.0,43.0,19,8.0,11.0,10.0,26,67
Jabari Parker,1168286,2022,PF,26,BOS,12,0.0,112.0,18,38,0.474,8.0,16.0,0.5,10,22,0.455,0.579,9,9,1.0,5.0,23.0,28.0,6,4.0,1.0,8.0,13,53
Alfonzo McKinnie,1090007,2022,SF,29,CHI,17,3.0,206.0,24,61,0.393,9.0,27.0,0.333,15,34,0.441,0.467,2,8,0.25,13.0,20.0,33.0,5,2.0,3.0,7.0,26,59
Isaiah Livers,1057260,2022,SF,23,DET,19,5.0,383.0,41,90,0.456,27.0,64.0,0.422,14,26,0.538,0.606,12,14,0.857,15.0,42.0,57.0,21,13.0,7.0,15.0,37,121
Denzel Valentine,1005633,2022,SG,28,TOT,24,0.0,222.0,25,66,0.379,19.0,47.0,0.404,6,19,0.316,0.523,0,0,,9.0,33.0,42.0,11,8.0,0.0,12.0,20,69
Alize Johnson,1003740,2022,PF,25,TOT,23,0.0,167.0,17,39,0.436,0.0,4.0,0.0,17,35,0.486,0.436,7,12,0.583,28.0,33.0,61.0,9,5.0,0.0,12.0,18,41
Kelan Martin,993760,2022,SF,26,TOT,30,1.0,450.0,70,171,0.409,22.0,75.0,0.293,48,96,0.5,0.474,9,13,0.692,17.0,38.0,55.0,21,13.0,9.0,14.0,36,171
Miye Oni,946261,2022,SG,24,UTA,16,0.0,44.0,2,9,0.222,1.0,8.0,0.125,1,1,1.0,0.278,0,1,0.0,1.0,6.0,7.0,5,0.0,0.0,1.0,7,5
Ayo Dosunmu,925258,2022,SG,22,CHI,77,40.0,2110.0,278,535,0.52,70.0,186.0,0.376,208,349,0.596,0.585,53,78,0.679,27.0,187.0,214.0,256,60.0,29.0,108.0,182,679
Marko Simonovic,925258,2022,C,22,CHI,9,0.0,35.0,4,15,0.267,1.0,5.0,0.2,3,10,0.3,0.3,8,11,0.727,5.0,5.0,10.0,0,1.0,1.0,2.0,6,17
Luka Garza,925258,2022,C,23,DET,32,5.0,389.0,66,147,0.449,16.0,49.0,0.327,50,98,0.51,0.503,38,61,0.623,58.0,42.0,100.0,20,9.0,6.0,18.0,55,186
Austin Reaves,925258,2022,SG,23,LAL,61,19.0,1418.0,146,318,0.459,53.0,167.0,0.317,93,151,0.616,0.542,99,118,0.839,45.0,148.0,193.0,110,29.0,20.0,40.0,87,444
Miles McBride,925258,2022,PG,21,NYK,40,2.0,372.0,32,108,0.296,17.0,68.0,0.25,15,40,0.375,0.375,8,12,0.667,4.0,38.0,42.0,41,14.0,1.0,5.0,45,89
Vit Krejci,925258,2022,SG,21,OKC,30,8.0,690.0,68,167,0.407,32.0,98.0,0.327,36,69,0.522,0.503,19,22,0.864,18.0,83.0,101.0,57,19.0,8.0,29.0,65,187
Charles Bassey,925258,2022,C,21,PHI,23,0.0,168.0,30,47,0.638,0.0,4.0,0.0,30,43,0.698,0.638,9,12,0.75,22.0,40.0,62.0,7,5.0,17.0,8.0,32,69
Jock Landale,925258,2022,C,26,SAS,54,1.0,589.0,101,204,0.495,29.0,89.0,0.326,72,115,0.626,0.566,34,41,0.829,63.0,75.0,138.0,45,10.0,14.0,31.0,53,265
Dalano Banton,925258,2022,PG,22,TOR,64,1.0,696.0,83,202,0.411,13.0,51.0,0.255,70,151,0.464,0.443,26,44,0.591,38.0,86.0,124.0,99,28.0,10.0,53.0,68,205
Jared Butler,925258,2022,SG,21,UTA,42,1.0,360.0,61,151,0.404,28.0,88.0,0.318,33,63,0.524,0.497,11,16,0.688,5.0,40.0,45.0,63,17.0,8.0,33.0,47,161
Daishen Nix,923078,2022,SG,19,HOU,24,0.0,261.0,27,67,0.403,7.0,26.0,0.269,20,41,0.488,0.455,16,30,0.533,7.0,26.0,33.0,40,15.0,0.0,26.0,21,77
Isaiah Thomas,910926,2022,PG,32,TOT,22,1.0,333.0,67,167,0.401,28.0,83.0,0.337,39,84,0.464,0.485,22,26,0.846,4.0,25.0,29.0,34,7.0,5.0,15.0,34,184
Terry Taylor,895125,2022,PF,22,IND,33,7.0,714.0,135,220,0.614,12.0,38.0,0.316,123,182,0.676,0.641,36,51,0.706,95.0,77.0,172.0,41,14.0,8.0,23.0,61,318
Mamadi Diakite,869078,2022,PF,25,OKC,13,3.0,188.0,25,47,0.532,0.0,5.0,0.0,25,42,0.595,0.532,6,11,0.545,17.0,42.0,59.0,2,5.0,9.0,7.0,33,56
Caleb Martin,844011,2022,SF,26,MIA,60,12.0,1372.0,208,410,0.507,64.0,155.0,0.413,144,255,0.565,0.585,71,93,0.763,70.0,160.0,230.0,64,58.0,30.0,52.0,104,551
Brad Wanamaker,814918,2022,PG,32,TOT,23,2.0,320.0,28,77,0.364,4.0,17.0,0.235,24,60,0.4,0.39,23,25,0.92,6.0,33.0,39.0,55,7.0,6.0,23.0,45,83
Luke Kornet,812364,2022,C,26,TOT,15,0.0,103.0,13,27,0.481,0.0,5.0,0.0,13,22,0.591,0.481,4,6,0.667,13.0,16.0,29.0,9,3.0,3.0,0.0,9,30
Wayne Selden,812363,2022,SG,27,NYK,3,0.0,19.0,1,4,0.25,1.0,2.0,0.5,0,2,0.0,0.375,2,4,0.5,0.0,1.0,1.0,1,0.0,0.0,0.0,1,5
Gary Clark,811213,2022,PF,27,NOP,38,1.0,378.0,33,88,0.375,28.0,70.0,0.4,5,18,0.278,0.534,7,10,0.7,23.0,67.0,90.0,18,13.0,7.0,10.0,20,101
Ryan Arcidiacono,774727,2022,PG,27,NYK,10,0.0,76.0,6,12,0.5,4.0,9.0,0.444,2,3,0.667,0.667,0,0,,0.0,8.0,8.0,4,1.0,0.0,3.0,5,16
Trendon Watford,768830,2022,SF,21,POR,48,10.0,869.0,142,267,0.532,9.0,38.0,0.237,133,229,0.581,0.549,71,94,0.755,57.0,142.0,199.0,81,25.0,28.0,44.0,116,364
Devontae Cacok,726128,2022,PF,25,SAS,15,0.0,121.0,21,31,0.677,0.0,0.0,,21,31,0.677,0.677,4,7,0.571,8.0,34.0,42.0,6,8.0,7.0,3.0,16,46
Admiral Schofield,723741,2022,SF,24,ORL,38,1.0,469.0,54,129,0.419,26.0,79.0,0.329,28,50,0.56,0.519,12,15,0.8,17.0,72.0,89.0,25,4.0,5.0,21.0,58,146
Malik Fitts,630874,2022,PF,24,TOT,15,0.0,63.0,8,19,0.421,5.0,10.0,0.5,3,9,0.333,0.553,0,0,,2.0,15.0,17.0,5,0.0,0.0,2.0,4,21
Sam Hauser,619498,2022,SF,24,BOS,26,0.0,158.0,23,50,0.46,19.0,44.0,0.432,4,6,0.667,0.65,0,0,,5.0,24.0,29.0,10,1.0,2.0,2.0,7,65
Greg Monroe,612805,2022,C,31,TOT,14,0.0,195.0,32,57,0.561,0.0,0.0,,32,57,0.561,0.561,12,23,0.522,30.0,34.0,64.0,22,8.0,10.0,12.0,24,76
Amir Coffey,573576,2022,SG,24,LAC,69,30.0,1567.0,211,466,0.453,96.0,254.0,0.378,115,212,0.542,0.556,101,117,0.863,26.0,171.0,197.0,124,38.0,15.0,45.0,87,619
Joe Wieskamp,563663,2022,SG,22,SAS,29,0.0,205.0,20,56,0.357,14.0,43.0,0.326,6,13,0.462,0.482,7,13,0.538,4.0,10.0,14.0,9,4.0,3.0,2.0,14,61
Keifer Sykes,558345,2022,PG,28,IND,32,11.0,566.0,69,190,0.363,27.0,90.0,0.3,42,100,0.42,0.434,15,17,0.882,8.0,37.0,45.0,62,12.0,4.0,33.0,51,180
Haywood Highsmith,547701,2022,SF,25,MIA,19,1.0,163.0,16,46,0.348,9.0,28.0,0.321,7,18,0.389,0.446,2,5,0.4,10.0,16.0,26.0,6,2.0,3.0,3.0,13,43
Nik Stauskas,534993,2022,SG,28,TOT,8,0.0,39.0,5,14,0.357,4.0,10.0,0.4,1,4,0.25,0.5,4,6,0.667,1.0,2.0,3.0,2,0.0,0.0,1.0,1,18
Davon Reed,532398,2022,SG,26,DEN,48,5.0,668.0,81,161,0.503,37.0,86.0,0.43,44,75,0.587,0.618,10,15,0.667,14.0,94.0,108.0,53,24.0,9.0,16.0,63,209
Wenyen Gabriel,522015,2022,PF,24,TOT,26,5.0,358.0,54,110,0.491,8.0,28.0,0.286,46,82,0.561,0.527,25,42,0.595,39.0,58.0,97.0,14,5.0,11.0,16.0,68,141
Skylar Mays,510907,2022,SG,24,ATL,28,5.0,220.0,32,64,0.5,8.0,25.0,0.32,24,39,0.615,0.563,8,9,0.889,5.0,20.0,25.0,17,7.0,0.0,10.0,9,80
Georgios Kalaitzakis,499852,2022,SF,23,TOT,13,4.0,214.0,31,67,0.463,10.0,26.0,0.385,21,41,0.512,0.537,14,30,0.467,6.0,15.0,21.0,12,11.0,2.0,20.0,19,86
Chris Silva,479650,2022,PF,25,TOT,10,0.0,91.0,8,15,0.533,0.0,0.0,,8,15,0.533,0.533,10,12,0.833,13.0,23.0,36.0,7,0.0,1.0,8.0,20,26
Kessler Edwards,463211,2022,SF,21,BRK,48,23.0,987.0,110,267,0.412,48.0,136.0,0.353,62,131,0.473,0.502,16,19,0.842,44.0,128.0,172.0,31,29.0,24.0,42.0,85,284
Trent Forrest,463211,2022,PG,23,UTA,60,6.0,765.0,76,155,0.49,5.0,27.0,0.185,71,128,0.555,0.506,38,48,0.792,23.0,76.0,99.0,106,30.0,6.0,48.0,43,195
Sharife Cooper,462629,2022,PG,20,ATL,13,0.0,39.0,3,14,0.214,1.0,6.0,0.167,2,8,0.25,0.25,0,0,,0.0,5.0,5.0,5,0.0,0.0,5.0,1,7
Brodric Thomas,462629,2022,SG,25,BOS,12,0.0,60.0,8,18,0.444,2.0,9.0,0.222,6,9,0.667,0.5,3,5,0.6,2.0,8.0,10.0,11,1.0,1.0,6.0,7,21
Scottie Lewis,462629,2022,SG,21,CHO,2,0.0,7.0,0,0,,0.0,0.0,,0,0,,,1,2,0.5,0.0,0.0,0.0,1,1.0,0.0,0.0,0,1
Arnoldas Kulboka,462629,2022,SF,24,CHO,2,0.0,5.0,0,1,0.0,0.0,1.0,0.0,0,0,,0.0,0,0,,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0
Tyler Cook,462629,2022,PF,24,CHI,20,2.0,200.0,23,38,0.605,0.0,0.0,,23,38,0.605,0.605,21,32,0.656,16.0,37.0,53.0,3,4.0,4.0,7.0,28,67
Markus Howard,462629,2022,SG,22,DEN,31,0.0,176.0,39,101,0.386,28.0,70.0,0.4,11,31,0.355,0.525,20,23,0.87,2.0,10.0,12.0,7,9.0,0.0,7.0,17,126
Jamorko Pickett,462629,2022,PF,24,DET,13,0.0,176.0,18,50,0.36,13.0,39.0,0.333,5,11,0.455,0.49,1,2,0.5,6.0,26.0,32.0,7,0.0,7.0,5.0,12,50
Chris Chiozza,462629,2022,PG,26,GSW,34,1.0,372.0,24,81,0.296,17.0,53.0,0.321,7,28,0.25,0.401,2,3,0.667,9.0,27.0,36.0,65,13.0,0.0,32.0,32,67
Jay Scrubb,462629,2022,SG,21,LAC,18,0.0,121.0,18,46,0.391,6.0,21.0,0.286,12,25,0.48,0.457,7,10,0.7,2.0,14.0,16.0,8,4.0,3.0,7.0,9,49
Yves Pons,462629,2022,SF,22,MEM,12,0.0,71.0,5,16,0.313,3.0,9.0,0.333,2,7,0.286,0.406,0,2,0.0,5.0,7.0,12.0,1,1.0,4.0,1.0,6,13
Sandro Mamukelashvili,462629,2022,PF,22,MIL,41,3.0,407.0,57,115,0.496,22.0,52.0,0.423,35,63,0.556,0.591,18,22,0.818,35.0,47.0,82.0,22,9.0,9.0,15.0,28,154
Nathan Knight,462629,2022,PF,24,MIN,37,2.0,267.0,45,88,0.511,4.0,13.0,0.308,41,75,0.547,0.534,44,60,0.733,32.0,53.0,85.0,22,7.0,8.0,18.0,42,138
Jericho Sims,462629,2022,PF,23,NYK,41,5.0,555.0,39,54,0.722,0.0,0.0,,39,54,0.722,0.722,12,29,0.414,61.0,108.0,169.0,21,11.0,22.0,20.0,66,90
Ignas Brazdeikis,462629,2022,SF,23,ORL,42,1.0,536.0,81,188,0.431,27.0,87.0,0.31,54,101,0.535,0.503,21,32,0.656,23.0,49.0,72.0,37,10.0,3.0,17.0,48,210
Keljin Blevins,462629,2022,SF,26,POR,31,1.0,349.0,34,111,0.306,21.0,72.0,0.292,13,39,0.333,0.401,6,11,0.545,16.0,29.0,45.0,19,13.0,1.0,17.0,29,95
Neemias Queta,462629,2022,C,22,SAC,15,0.0,120.0,17,38,0.447,0.0,0.0,,17,38,0.447,0.447,11,17,0.647,14.0,17.0,31.0,6,1.0,8.0,6.0,18,45
David Johnson,462629,2022,SG,20,TOR,2,0.0,2.0,0,1,0.0,0.0,1.0,0.0,0,0,,0.0,0,0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
Justin Champagnie,462629,2022,SF,20,TOR,36,0.0,281.0,31,67,0.463,10.0,28.0,0.357,21,39,0.538,0.537,9,9,1.0,37.0,35.0,72.0,11,8.0,4.0,8.0,32,81
Joel Ayayi,462629,2022,SG,21,WAS,7,0.0,20.0,1,6,0.167,0.0,1.0,0.0,1,5,0.2,0.167,0,0,,1.0,2.0,3.0,4,0.0,0.0,0.0,0,2
Cassius Winston,462629,2022,PG,23,WAS,7,0.0,39.0,4,11,0.364,2.0,6.0,0.333,2,5,0.4,0.455,4,4,1.0,0.0,1.0,1.0,7,0.0,0.0,3.0,9,14
Justin Anderson,445828,2022,SF,28,TOT,16,6.0,316.0,36,95,0.379,15.0,59.0,0.254,21,36,0.583,0.458,15,19,0.789,4.0,42.0,46.0,33,8.0,6.0,8.0,22,102
Theo Pinson,440710,2022,SF,26,DAL,19,0.0,148.0,14,39,0.359,10.0,30.0,0.333,4,9,0.444,0.487,10,10,1.0,2.0,19.0,21.0,17,5.0,2.0,5.0,12,48
Langston Galloway,386127,2022,SG,30,TOT,7,0.0,107.0,6,26,0.231,2.0,16.0,0.125,4,10,0.4,0.269,0,0,,3.0,15.0,18.0,12,1.0,0.0,6.0,7,14
Tim Frazier,386127,2022,PG,31,TOT,12,3.0,208.0,14,45,0.311,6.0,17.0,0.353,8,28,0.286,0.378,5,9,0.556,5.0,14.0,19.0,34,3.0,1.0,15.0,27,39
Kyle Guy,383079,2022,SG,24,MIA,19,0.0,186.0,26,65,0.4,14.0,40.0,0.35,12,25,0.48,0.508,8,12,0.667,4.0,13.0,17.0,17,7.0,1.0,13.0,12,74
Sam Dekker,350000,2022,PF,27,TOR,1,0.0,1.0,0,0,,0.0,0.0,,0,0,,,0,0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
Quinndary Weatherspoon,346491,2022,SG,25,GSW,11,0.0,73.0,12,21,0.571,1.0,5.0,0.2,11,16,0.688,0.595,5,5,1.0,2.0,12.0,14.0,5,1.0,1.0,3.0,15,30
Brandon Goodwin,343988,2022,PG,26,CLE,36,5.0,502.0,64,154,0.416,19.0,55.0,0.345,45,99,0.455,0.477,24,38,0.632,14.0,53.0,67.0,91,25.0,1.0,36.0,39,171
Malcolm Hill,324373,2022,SF-SG,26,TOT,19,0.0,212.0,24,52,0.462,13.0,36.0,0.361,11,16,0.688,0.587,11,14,0.786,11.0,24.0,35.0,8,7.0,3.0,3.0,24,72
Louis King,316396,2022,SF,22,SAC,10,0.0,104.0,15,47,0.319,8.0,27.0,0.296,7,20,0.35,0.404,7,10,0.7,0.0,12.0,12.0,9,2.0,1.0,0.0,14,45
Justin Jackson,308493,2022,SF,26,TOT,7,0.0,37.0,5,15,0.333,3.0,9.0,0.333,2,6,0.333,0.433,2,2,1.0,1.0,6.0,7.0,2,0.0,0.0,1.0,3,15
Shaquille Harrison,308493,2022,SG,28,BRK,2,0.0,23.0,2,6,0.333,0.0,2.0,0.0,2,4,0.5,0.333,0,0,,1.0,3.0,4.0,3,1.0,1.0,2.0,3,4
Jeff Dowtin,305761,2022,PG,24,TOT,9,0.0,108.0,8,26,0.308,1.0,9.0,0.111,7,17,0.412,0.327,2,2,1.0,8.0,10.0,18.0,10,5.0,1.0,5.0,5,19
Trevelin Queen,303102,2022,SG,24,HOU,10,0.0,74.0,15,33,0.455,9.0,24.0,0.375,6,9,0.667,0.591,4,4,1.0,7.0,9.0,16.0,4,5.0,1.0,7.0,6,43
Paul Watson,303102,2022,SF,27,OKC,9,3.0,156.0,12,35,0.343,6.0,26.0,0.231,6,9,0.667,0.429,1,2,0.5,3.0,24.0,27.0,8,3.0,3.0,4.0,10,31
Myles Powell,300443,2022,PG,24,PHI,11,0.0,52.0,5,17,0.294,1.0,6.0,0.167,4,11,0.364,0.324,2,2,1.0,1.0,5.0,6.0,3,1.0,0.0,3.0,8,13
Mason Jones,295125,2022,SG,23,LAL,4,0.0,51.0,7,15,0.467,1.0,4.0,0.25,6,11,0.545,0.5,12,15,0.8,1.0,9.0,10.0,4,2.0,0.0,1.0,8,27
Eugene Omoruyi,281831,2022,SF,24,DAL,4,0.0,18.0,2,5,0.4,1.0,2.0,0.5,1,3,0.333,0.5,2,4,0.5,2.0,5.0,7.0,2,0.0,0.0,0.0,2,7
Brandon Knight,274672,2022,PG,30,DAL,5,0.0,65.0,10,25,0.4,4.0,17.0,0.235,6,8,0.75,0.48,8,8,1.0,0.0,8.0,8.0,8,1.0,0.0,4.0,5,32
Justin Robinson,265953,2022,PG,24,TOT,25,0.0,304.0,28,93,0.301,18.0,61.0,0.295,10,32,0.313,0.398,4,8,0.5,4.0,17.0,21.0,32,9.0,1.0,17.0,27,78
Mychal Mulder,257902,2022,PG,27,TOT,17,3.0,239.0,24,77,0.312,17.0,54.0,0.315,7,23,0.304,0.422,4,4,1.0,2.0,22.0,24.0,5,4.0,2.0,8.0,13,69
Tyler Johnson,257418,2022,PG,29,TOT,6,0.0,91.0,6,20,0.3,5.0,13.0,0.385,1,7,0.143,0.425,0,0,,3.0,9.0,12.0,7,3.0,3.0,2.0,7,17
Cassius Stanley,256734,2022,SG,22,DET,9,1.0,155.0,19,46,0.413,4.0,17.0,0.235,15,29,0.517,0.457,10,10,1.0,5.0,14.0,19.0,4,5.0,2.0,6.0,17,52
Zylan Cheatham,256734,2022,SF,26,UTA,1,0.0,5.0,0,3,0.0,0.0,2.0,0.0,0,1,0.0,0.0,0,0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
Devon Dotson,239291,2022,PG,22,CHI,11,0.0,85.0,11,23,0.478,2.0,9.0,0.222,9,14,0.643,0.522,5,9,0.556,1.0,8.0,9.0,15,1.0,0.0,5.0,11,29
Marcus Garrett,236632,2022,SG,23,MIA,12,0.0,128.0,5,21,0.238,1.0,4.0,0.25,4,17,0.235,0.262,2,5,0.4,9.0,14.0,23.0,7,5.0,3.0,2.0,16,13
Lindell Wigginton,233973,2022,PG,23,MIL,19,0.0,199.0,26,61,0.426,9.0,26.0,0.346,17,35,0.486,0.5,19,35,0.543,3.0,22.0,25.0,23,5.0,1.0,12.0,17,80
Jay Huff,225997,2022,C,23,LAL,4,0.0,20.0,0,3,0.0,0.0,2.0,0.0,0,1,0.0,0.0,0,0,,1.0,3.0,4.0,1,1.0,1.0,1.0,1,0
Olivier Sarr,223339,2022,C,22,OKC,22,2.0,421.0,58,101,0.574,13.0,29.0,0.448,45,72,0.625,0.639,24,29,0.828,34.0,59.0,93.0,19,6.0,15.0,22.0,52,153
Aaron Henry,223338,2022,SF,22,PHI,6,0.0,17.0,1,5,0.2,0.0,1.0,0.0,1,4,0.25,0.2,0,0,,0.0,1.0,1.0,0,0.0,2.0,2.0,2,2
Freddie Gillespie,221156,2022,PF,24,ORL,9,2.0,119.0,9,22,0.409,0.0,1.0,0.0,9,21,0.429,0.409,3,7,0.429,13.0,23.0,36.0,5,3.0,9.0,5.0,18,21
JaQuori McLaughlin,220679,2022,PG,24,DAL,4,0.0,11.0,0,2,0.0,0.0,1.0,0.0,0,1,0.0,0.0,0,0,,0.0,0.0,0.0,2,0.0,0.0,0.0,1,0
Rayjon Tucker,220639,2022,SG,24,TOT,5,0.0,71.0,6,9,0.667,4.0,5.0,0.8,2,4,0.5,0.889,5,7,0.714,3.0,5.0,8.0,10,4.0,0.0,1.0,5,21
Tacko Fall,218021,2022,C,26,CLE,11,1.0,59.0,5,12,0.417,0.0,0.0,,5,12,0.417,0.417,2,7,0.286,7.0,16.0,23.0,2,0.0,6.0,3.0,3,12
Petr Cornelie,218021,2022,PF,26,DEN,13,0.0,38.0,5,15,0.333,1.0,8.0,0.125,4,7,0.571,0.367,3,4,0.75,7.0,7.0,14.0,3,1.0,1.0,4.0,7,14
Juwan Morgan,211046,2022,PF,24,TOT,2,0.0,31.0,2,3,0.667,1.0,2.0,0.5,1,1,1.0,0.833,0,0,,2.0,2.0,4.0,1,0.0,0.0,0.0,3,5
Damyean Dotson,205662,2022,SG,27,NYK,2,0.0,21.0,2,4,0.5,0.0,1.0,0.0,2,3,0.667,0.5,0,0,,0.0,2.0,2.0,1,0.0,0.0,0.0,0,4
Xavier Moon,202069,2022,SG,27,LAC,10,0.0,137.0,25,51,0.49,5.0,14.0,0.357,20,37,0.541,0.539,3,5,0.6,2.0,12.0,14.0,24,7.0,3.0,6.0,9,58
Tyrone Wallace,198760,2022,SG,27,NOP,6,0.0,75.0,7,20,0.35,2.0,8.0,0.25,5,12,0.417,0.4,1,5,0.2,0.0,8.0,8.0,1,3.0,1.0,2.0,7,17
Norvel Pelle,191860,2022,C,28,UTA,3,0.0,19.0,3,5,0.6,0.0,0.0,,3,5,0.6,0.6,0,0,,3.0,3.0,6.0,0,0.0,1.0,2.0,1,6
Jaylen Hoard,191860,2022,SF,22,OKC,7,5.0,240.0,44,90,0.489,9.0,25.0,0.36,35,65,0.538,0.539,6,14,0.429,30.0,54.0,84.0,17,6.0,5.0,8.0,14,103
Tremont Waters,191860,2022,PG,24,TOT,3,0.0,50.0,4,14,0.286,2.0,9.0,0.222,2,5,0.4,0.357,0,0,,0.0,4.0,4.0,7,5.0,0.0,4.0,4,10
Reggie Perry,188272,2022,PF,21,TOT,10,1.0,187.0,40,79,0.506,3.0,16.0,0.188,37,63,0.587,0.525,9,15,0.6,15.0,32.0,47.0,12,9.0,6.0,11.0,33,92
Devin Cannady,185578,2022,PG,25,ORL,5,0.0,145.0,15,44,0.341,15.0,37.0,0.405,0,7,0.0,0.511,5,7,0.714,1.0,5.0,6.0,10,5.0,3.0,5.0,9,50
Brandon Williams,180798,2022,PG,22,POR,24,16.0,640.0,105,282,0.372,31.0,106.0,0.292,74,176,0.42,0.427,68,97,0.701,19.0,55.0,74.0,94,24.0,10.0,58.0,52,309
Moses Wright,172821,2022,PF,23,TOT,4,0.0,14.0,1,4,0.25,0.0,1.0,0.0,1,3,0.333,0.25,3,3,1.0,1.0,2.0,3.0,2,0.0,1.0,0.0,0,5
DeJon Jarreau,172821,2022,SG,24,IND,1,0.0,1.0,0,0,,0.0,0.0,,0,0,,,0,0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
Dakota Mathias,171156,2022,SG,26,MEM,6,0.0,16.0,2,6,0.333,2.0,6.0,0.333,0,0,,0.5,0,0,,0.0,2.0,2.0,1,1.0,0.0,0.0,1,6
Matt Mooney,171156,2022,SG,24,NYK,1,0.0,2.0,0,1,0.0,0.0,1.0,0.0,0,0,,0.0,0,0,,0.0,0.0,0.0,0,1.0,0.0,1.0,0,0
Lindy Waters III,159527,2022,SG,24,OKC,25,1.0,465.0,71,175,0.406,53.0,146.0,0.363,18,29,0.621,0.557,4,5,0.8,6.0,67.0,73.0,24,19.0,8.0,11.0,31,199
Joe Johnson,151821,2022,SG,40,BOS,1,0.0,2.0,1,1,1.0,0.0,0.0,,1,1,1.0,1.0,0,0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2
Darren Collison,151821,2022,PG,34,LAL,3,0.0,37.0,2,7,0.286,0.0,3.0,0.0,2,4,0.5,0.286,0,0,,0.0,4.0,4.0,2,1.0,0.0,1.0,5,4
Xavier Sneed,146233,2022,SF,24,TOT,9,0.0,39.0,2,10,0.2,1.0,8.0,0.125,1,2,0.5,0.25,0,0,,2.0,4.0,6.0,1,0.0,0.0,0.0,2,5
Anthony Lamb,136095,2022,SF,24,SAS,2,0.0,8.0,0,2,0.0,0.0,2.0,0.0,0,0,,0.0,0,0,,0.0,1.0,1.0,2,0.0,0.0,0.0,0,0
Braxton Key,127622,2022,SF,24,TOT,11,0.0,197.0,33,72,0.458,6.0,21.0,0.286,27,51,0.529,0.5,7,13,0.538,13.0,37.0,50.0,11,10.0,11.0,11.0,26,79
