Player,salary,Season,Position,Age,Team,Games Played,Games Started,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goals Percentage,Three Pointers Made,Three Pointers Attempted,Three Pointers Percentage,Two Pointers Made,Two Pointers Attempted,Two Pointers Percentage,Effective Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points Scored
Moritz Wagner,1729217,2022,C,24,ORL,63,3.0,960.0,197,396,0.497,66.0,201.0,0.328,131,195,0.672,0.581,104,129,0.806,42.0,190.0,232.0,87,20.0,13.0,56.0,123,564
Keita Bates-Diop,1729217,2022,SF,26,SAS,59,14.0,956.0,136,263,0.517,17.0,55.0,0.309,119,208,0.572,0.549,46,61,0.754,62.0,169.0,231.0,41,27.0,14.0,45.0,61,335
Isaac Bonga,1729217,2022,SF,22,TOR,15,0.0,69.0,3,13,0.231,1.0,4.0,0.25,2,9,0.222,0.269,5,8,0.625,4.0,3.0,7.0,4,8.0,2.0,2.0,10,12
Juan Toscano-Anderson,1701593,2022,SF,28,GSW,73,6.0,994.0,115,235,0.489,28.0,87.0,0.322,87,148,0.588,0.549,40,70,0.571,28.0,148.0,176.0,127,48.0,17.0,68.0,115,298
Oshae Brissett,1701593,2022,SF,23,IND,67,25.0,1564.0,208,506,0.411,83.0,237.0,0.35,125,269,0.465,0.493,114,164,0.695,108.0,250.0,358.0,72,44.0,29.0,54.0,116,613
Gabriel Deck,1690507,2022,PF,26,OKC,7,0.0,56.0,8,14,0.571,2.0,4.0,0.5,6,10,0.6,0.643,0,0,,1.0,5.0,6.0,5,1.0,0.0,2.0,2,18
Matt Thomas,1669178,2022,SG,27,CHI,40,0.0,459.0,55,134,0.41,35.0,91.0,0.385,20,43,0.465,0.541,16,20,0.8,3.0,47.0,50.0,20,8.0,3.0,8.0,18,161
Javonte Green,1669178,2022,SF,28,CHI,65,45.0,1519.0,176,325,0.542,36.0,101.0,0.356,140,224,0.625,0.597,80,96,0.833,91.0,185.0,276.0,60,67.0,32.0,30.0,132,468
Gary Payton II,1669178,2022,SG,29,GSW,71,16.0,1247.0,212,344,0.616,43.0,120.0,0.358,169,224,0.754,0.679,35,58,0.603,72.0,175.0,247.0,64,96.0,22.0,40.0,131,502
Max Strus,1669178,2022,SF,25,MIA,68,16.0,1587.0,249,564,0.441,181.0,442.0,0.41,68,122,0.557,0.602,42,53,0.792,24.0,178.0,202.0,92,28.0,16.0,57.0,116,721
Gabe Vincent,1669178,2022,PG,25,MIA,68,27.0,1589.0,214,513,0.417,119.0,323.0,0.368,95,190,0.5,0.533,44,54,0.815,22.0,104.0,126.0,210,62.0,12.0,98.0,158,591
Lance Stephenson,1614825,2022,PG-SG,31,TOT,46,1.0,814.0,147,323,0.455,27.0,90.0,0.3,120,233,0.515,0.497,63,80,0.788,12.0,115.0,127.0,165,24.0,4.0,72.0,96,384
Deividas Sirvydis,1603559,2022,SG,21,DET,3,0.0,27.0,1,10,0.1,1.0,7.0,0.143,0,3,0.0,0.15,0,0,,0.0,6.0,6.0,1,3.0,1.0,0.0,4,3
Daniel Oturu,1603559,2022,C,22,TOR,3,0.0,27.0,3,6,0.5,0.0,1.0,0.0,3,5,0.6,0.5,3,5,0.6,1.0,4.0,5.0,0,0.0,2.0,0.0,1,9
Kevin Pangos,1569178,2022,PG,29,CLE,24,3.0,166.0,15,46,0.326,6.0,26.0,0.231,9,20,0.45,0.391,3,4,0.75,2.0,9.0,11.0,30,3.0,0.0,7.0,11,39
Bismack Biyombo,1518213,2022,C,29,PHO,36,3.0,506.0,86,145,0.593,0.0,0.0,,86,145,0.593,0.593,38,71,0.535,63.0,104.0,167.0,23,12.0,26.0,25.0,70,210
Nick Richards,1517981,2022,C,24,CHO,50,5.0,367.0,60,90,0.667,0.0,0.0,,60,90,0.667,0.667,30,43,0.698,34.0,52.0,86.0,13,9.0,21.0,24.0,51,150
Lamar Stevens,1517981,2022,PF,24,CLE,63,13.0,1015.0,156,319,0.489,18.0,65.0,0.277,138,254,0.543,0.517,53,75,0.707,47.0,117.0,164.0,44,31.0,18.0,41.0,106,383
Jae'Sean Tate,1517981,2022,PF,26,HOU,78,77.0,2056.0,363,729,0.498,63.0,202.0,0.312,300,527,0.569,0.541,130,184,0.707,135.0,285.0,420.0,222,72.0,41.0,139.0,286,919
Sam Merrill,1517981,2022,SG,25,MEM,6,0.0,58.0,8,24,0.333,7.0,23.0,0.304,1,1,1.0,0.479,2,4,0.5,1.0,6.0,7.0,4,0.0,0.0,2.0,3,25
Jordan Nwora,1517981,2022,SF,23,MIL,62,13.0,1185.0,186,462,0.403,79.0,227.0,0.348,107,235,0.455,0.488,36,43,0.837,37.0,184.0,221.0,59,25.0,17.0,57.0,78,487
Naji Marshall,1517981,2022,SF,24,NOP,55,4.0,735.0,109,269,0.405,21.0,105.0,0.2,88,164,0.537,0.444,74,93,0.796,38.0,104.0,142.0,62,33.0,8.0,46.0,69,313
